receptor,site_id,copy,ligand,smiles,center_x,center_y,center_z,box_size,success,binding_energy,output
a9a10_2to3_apo_reference,32,1,acetate,CC(=O)[O-],14.05,-7.79,-11.34,15,True,-2.282,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site32_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,33,1,acetate,CC(=O)[O-],6.72,-2.99,-4.77,15,True,-2.191,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site33_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,14,1,acetate,CC(=O)[O-],-16.13,11.3,33.8,15,True,-2.971,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site14_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,27,1,acetate,CC(=O)[O-],-32.63,30.08,35.55,15,True,-2.786,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site27_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,37,1,acetate,CC(=O)[O-],-0.48,0.49,-0.2,15,True,-2.101,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site37_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,3,1,acetate,CC(=O)[O-],-13.29,23.21,27.86,15,True,-2.292,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site3_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,3,2,acetate,CC(=O)[O-],-30.35,-1.19,20.6,15,True,-2.52,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site3_copy2_acetate_docked.pdb
a9a10_2to3_apo_reference,9,1,acetate,CC(=O)[O-],-51.72,24.18,-1.51,15,True,-2.155,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site9_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,8,1,acetate,CC(=O)[O-],-22.95,47.64,17.2,15.46,True,-2.172,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site8_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,8,2,acetate,CC(=O)[O-],-51.67,24.34,-1.55,15,True,-2.16,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site8_copy2_acetate_docked.pdb
a9a10_2to3_apo_reference,16,1,acetate,CC(=O)[O-],-42.04,42.74,28.74,15,True,-2.735,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site16_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,30,1,acetate,CC(=O)[O-],3.49,6.07,13.47,15,True,-2.513,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site30_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,20,1,acetate,CC(=O)[O-],-18.04,46.7,26.35,15,True,-2.148,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site20_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,15,1,acetate,CC(=O)[O-],-23.64,10.62,10.0,17.22,True,-2.322,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site15_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,1,1,acetate,CC(=O)[O-],-29.61,17.19,23.07,15,True,-1.432,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site1_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,4,1,acetate,CC(=O)[O-],-18.02,-27.42,3.82,15,True,-1.879,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site4_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,12,1,acetate,CC(=O)[O-],-37.83,30.79,32.07,15,True,-1.947,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site12_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,11,1,acetate,CC(=O)[O-],-31.16,-1.9,-14.78,15,True,-1.991,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site11_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,39,1,acetate,CC(=O)[O-],-4.83,3.07,4.71,15,True,-1.893,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site39_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,23,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-11.65,38.0,22.41,15.98,True,-2.675,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site23_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,23,2,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-28.71,-9.88,33.2,15,True,14.67,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site23_copy2_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,5,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-7.28,38.04,44.94,17.34,True,-5.69,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site5_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,5,2,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-51.89,-12.06,27.91,16.32,True,-6.4,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site5_copy2_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,34,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,15.14,-8.22,-12.15,15,True,-7.835,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site34_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,21,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-19.98,43.78,33.68,19.119999999999997,True,-6.786,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site21_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,21,2,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-43.71,-3.13,39.19,15,True,-6.85,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site21_copy2_O-ethyl_ascorbate_docked.pdb
