compound_id,stoichiometry,site_id,binding_energy,n_contacts,h_bonds,salt_bridges,aromatic,hydrophobic,vdw,contact_residues
17,3to2,21,-7.804,0,0,0,0,0,0,
17,3to2,34,-9.921,0,0,0,0,0,0,
17,3to2,35,-10.073,0,0,0,0,0,0,
17,3to2,18,-7.577,0,0,0,0,0,0,
17,3to2,25,-7.391,0,0,0,0,0,0,
17,3to2,11,-8.784,0,0,0,0,0,0,
18,3to2,23,-8.33,0,0,0,0,0,0,
18,3to2,5,-9.27,0,0,0,0,0,0,
18,3to2,21,-7.609,0,0,0,0,0,0,
18,3to2,34,-10.192,0,0,0,0,0,0,
18,3to2,35,-10.223,0,0,0,0,0,0,
18,3to2,18,-7.957,0,0,0,0,0,0,
18,3to2,25,-8.48,0,0,0,0,0,0,
18,3to2,11,-9.451,0,0,0,0,0,0,
19,3to2,23,-7.304,0,0,0,0,0,0,
19,3to2,5,-9.216,0,0,0,0,0,0,
19,3to2,21,-6.935,0,0,0,0,0,0,
19,3to2,34,-9.292,0,0,0,0,0,0,
19,3to2,35,-9.241,0,0,0,0,0,0,
19,3to2,18,-7.134,0,0,0,0,0,0,
19,3to2,25,-7.321,0,0,0,0,0,0,
19,3to2,11,-8.784,0,0,0,0,0,0,
20,3to2,23,-7.541,0,0,0,0,0,0,
20,3to2,5,-8.249,0,0,0,0,0,0,
20,3to2,21,-7.277,0,0,0,0,0,0,
20,3to2,34,-10.108,0,0,0,0,0,0,
20,3to2,35,-10.432,0,0,0,0,0,0,
20,3to2,18,-6.842,0,0,0,0,0,0,
20,3to2,25,-7.603,0,0,0,0,0,0,
20,3to2,11,-9.028,0,0,0,0,0,0,
21,3to2,23,-7.809,0,0,0,0,0,0,
21,3to2,5,-8.994,0,0,0,0,0,0,
21,3to2,21,-7.511,0,0,0,0,0,0,
21,3to2,34,-9.389,0,0,0,0,0,0,
21,3to2,35,-9.408,0,0,0,0,0,0,
21,3to2,18,-7.462,0,0,0,0,0,0,
21,3to2,25,-7.507,0,0,0,0,0,0,
21,3to2,11,-8.857,0,0,0,0,0,0,
22,3to2,23,-7.017,0,0,0,0,0,0,
22,3to2,5,-7.978,0,0,0,0,0,0,
22,3to2,21,-6.863,0,0,0,0,0,0,
22,3to2,34,-8.754,0,0,0,0,0,0,
22,3to2,35,-8.8,0,0,0,0,0,0,
22,3to2,18,-7.06,0,0,0,0,0,0,
22,3to2,25,-7.375,0,0,0,0,0,0,
22,3to2,11,-8.628,0,0,0,0,0,0,
23,3to2,23,-6.789,0,0,0,0,0,0,
23,3to2,5,-7.566,0,0,0,0,0,0,
23,3to2,21,-6.368,0,0,0,0,0,0,
23,3to2,34,-7.716,0,0,0,0,0,0,
23,3to2,35,-7.711,0,0,0,0,0,0,
23,3to2,18,-6.334,0,0,0,0,0,0,
23,3to2,25,-6.832,0,0,0,0,0,0,
23,3to2,11,-7.704,0,0,0,0,0,0,
24,3to2,23,-7.674,0,0,0,0,0,0,
24,3to2,5,-8.092,0,0,0,0,0,0,
24,3to2,21,-6.855,0,0,0,0,0,0,
24,3to2,34,-8.496,0,0,0,0,0,0,
24,3to2,35,-9.062,0,0,0,0,0,0,
24,3to2,18,-7.463,0,0,0,0,0,0,
24,3to2,25,-7.509,0,0,0,0,0,0,
24,3to2,11,-8.361,0,0,0,0,0,0,
25,3to2,23,-6.481,0,0,0,0,0,0,
25,3to2,5,-7.397,0,0,0,0,0,0,
25,3to2,21,-6.12,0,0,0,0,0,0,
25,3to2,34,-7.951,0,0,0,0,0,0,
25,3to2,35,-7.96,0,0,0,0,0,0,
25,3to2,18,-6.353,0,0,0,0,0,0,
25,3to2,25,-6.523,0,0,0,0,0,0,
25,3to2,11,-7.758,0,0,0,0,0,0,
26,3to2,23,-6.834,0,0,0,0,0,0,
26,3to2,5,-7.289,0,0,0,0,0,0,
26,3to2,21,-6.239,0,0,0,0,0,0,
26,3to2,34,-7.709,0,0,0,0,0,0,
26,3to2,35,-7.718,0,0,0,0,0,0,
26,3to2,18,-6.241,0,0,0,0,0,0,
26,3to2,25,-6.857,0,0,0,0,0,0,
26,3to2,11,-7.419,0,0,0,0,0,0,
27,3to2,23,-8.355,0,0,0,0,0,0,
27,3to2,5,-8.963,0,0,0,0,0,0,
27,3to2,21,-7.044,0,0,0,0,0,0,
27,3to2,34,-9.716,0,0,0,0,0,0,
27,3to2,35,-9.735,0,0,0,0,0,0,
27,3to2,18,-7.366,0,0,0,0,0,0,
27,3to2,25,-8.175,0,0,0,0,0,0,
27,3to2,11,-8.802,0,0,0,0,0,0,
28,3to2,23,-6.302,0,0,0,0,0,0,
28,3to2,5,-6.849,0,0,0,0,0,0,
28,3to2,21,-5.495,0,0,0,0,0,0,
28,3to2,34,-7.03,0,0,0,0,0,0,
28,3to2,35,-7.032,0,0,0,0,0,0,
28,3to2,18,-5.543,0,0,0,0,0,0,
28,3to2,25,-6.313,0,0,0,0,0,0,
28,3to2,11,-6.474,0,0,0,0,0,0,
29,3to2,23,-6.628,0,0,0,0,0,0,
29,3to2,5,-7.353,0,0,0,0,0,0,
29,3to2,21,-5.951,0,0,0,0,0,0,
29,3to2,34,-7.517,0,0,0,0,0,0,
29,3to2,35,-7.685,0,0,0,0,0,0,
29,3to2,18,-6.198,0,0,0,0,0,0,
29,3to2,25,-6.605,0,0,0,0,0,0,
29,3to2,11,-6.903,0,0,0,0,0,0,
30,3to2,23,-7.566,0,0,0,0,0,0,
30,3to2,5,-7.615,0,0,0,0,0,0,
30,3to2,21,-6.744,0,0,0,0,0,0,
30,3to2,34,-9.15,0,0,0,0,0,0,
30,3to2,35,-9.351,0,0,0,0,0,0,
30,3to2,18,-6.817,0,0,0,0,0,0,
30,3to2,25,-7.676,0,0,0,0,0,0,
30,3to2,11,-7.661,0,0,0,0,0,0,
